True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,16000.0,838.4926,15955.9375
1000.0,16000.0,818.0238,15847.753
1000.0,16000.0,844.7103,15886.514
1000.0,16000.0,820.1326,15856.089
1000.0,16000.0,932.3412,14766.647
1000.0,16000.0,923.15485,7242.6885
1000.0,16000.0,926.72766,12197.503
1000.0,16000.0,942.12054,14849.464
1000.0,16000.0,937.0928,14654.506
1000.0,16000.0,891.9133,16439.197
1000.0,16000.0,909.27875,7852.368
1000.0,16000.0,921.1037,14520.22
1000.0,16000.0,705.5731,7201.1694
1000.0,16000.0,742.59247,6280.2417
1000.0,16000.0,759.51337,6427.7124
1000.0,16000.0,792.14594,7831.7856
1000.0,16000.0,702.4111,7223.564
1000.0,16000.0,762.9747,6003.2974
1000.0,16000.0,916.70935,12426.411
1000.0,16000.0,949.67444,15068.553
1000.0,16000.0,940.4594,14907.773
1000.0,16000.0,949.1367,14808.856
1000.0,16000.0,932.89075,14324.447
1000.0,16000.0,958.67267,15125.502
1000.0,16000.0,887.2477,10235.123
1000.0,16000.0,888.6553,9533.382
1000.0,16000.0,919.3117,15043.694
1000.0,16000.0,914.644,14981.789
1000.0,16000.0,951.2635,15489.03
1000.0,16000.0,947.6879,17320.717
1000.0,16000.0,931.01227,18185.867
1000.0,16000.0,929.1788,18932.412
1000.0,16000.0,935.2813,15258.382
1000.0,16000.0,905.864,14764.872
1000.0,16000.0,936.35254,15779.976
1000.0,16000.0,827.50214,22321.035
1000.0,16000.0,884.1316,15288.751
1000.0,16000.0,902.6247,15159.624
1000.0,16000.0,926.36273,15112.602
1000.0,16000.0,941.98956,15253.645
1000.0,16000.0,921.48346,15126.011
1000.0,16000.0,915.8401,14866.347
1000.0,16000.0,963.37164,15328.8125
1000.0,16000.0,957.7649,15181.702
1000.0,16000.0,950.47815,15178.018
1000.0,16000.0,954.57446,17252.668
1000.0,16000.0,951.69806,17633.033
1000.0,16000.0,973.098,15347.966
1000.0,16000.0,953.60394,15278.46
1000.0,16000.0,921.39465,15182.075
1000.0,16000.0,914.5096,13610.526
1000.0,16000.0,913.263,15044.389
1000.0,16000.0,922.66296,15011.269
1000.0,16000.0,927.3623,15041.879
1000.0,16000.0,905.5562,11626.705
1000.0,16000.0,872.5631,12687.967
1000.0,16000.0,905.7319,14565.557
1000.0,16000.0,902.8194,14550.67
1000.0,16000.0,954.29694,15173.381
1000.0,16000.0,931.317,12603.286
1000.0,16000.0,912.3584,6012.8647
1000.0,16000.0,905.53973,10291.632
1000.0,16000.0,911.5295,11065.223
1000.0,16000.0,917.06415,14973.428
1000.0,16000.0,904.8765,3742.8577
1000.0,16000.0,850.425,15943.132
1000.0,16000.0,897.7495,2949.3435
1000.0,16000.0,890.02014,15119.418
1000.0,16000.0,933.4012,14124.645
1000.0,16000.0,902.90546,5835.4893
1000.0,16000.0,895.7699,14777.362
1000.0,16000.0,884.28534,14803.583
1000.0,16000.0,867.88275,14868.767
1000.0,16000.0,876.44617,14901.293
1000.0,16000.0,892.4269,15069.487
1000.0,16000.0,910.8988,14899.345
1000.0,16000.0,823.3737,15368.423
1000.0,16000.0,825.2005,15678.122
1000.0,16000.0,898.40515,14953.466
1000.0,16000.0,953.2088,15252.767
1000.0,16000.0,960.45917,14525.982
1000.0,16000.0,952.94226,14751.083
1000.0,16000.0,938.85944,14722.825
1000.0,16000.0,914.5509,6822.3096
1000.0,16000.0,944.395,21042.836
1000.0,16000.0,940.1048,17686.45
1000.0,16000.0,958.97565,20842.422
1000.0,16000.0,950.6492,18366.19
1000.0,16000.0,971.3362,15487.951
1000.0,16000.0,939.3946,15424.733
1000.0,16000.0,943.5824,15200.119
1000.0,16000.0,938.6072,15400.33
1000.0,16000.0,927.57086,15408.366
1000.0,16000.0,944.1509,15651.789
1000.0,16000.0,946.24225,19777.992
1000.0,16000.0,941.5362,15398.358
1000.0,16000.0,952.6025,15480.728
1000.0,16000.0,957.19183,15645.14
1000.0,16000.0,949.77234,15406.134
1000.0,16000.0,905.50055,14937.85
1000.0,16000.0,901.4866,14629.294
1000.0,16000.0,913.3724,14637.292
1000.0,16000.0,925.1702,15050.232
1000.0,16000.0,912.488,9457.189
1000.0,16000.0,871.3232,14915.278
1000.0,16000.0,923.254,14425.428
1000.0,16000.0,915.1054,14832.288
1000.0,16000.0,929.389,14974.036
1000.0,16000.0,896.78485,14542.984
1000.0,16000.0,903.2504,14699.388
1000.0,16000.0,896.86176,14863.653
1000.0,16000.0,912.6123,14655.07
1000.0,16000.0,957.0463,15737.995
1000.0,16000.0,967.2697,15320.794
1000.0,16000.0,942.6375,15248.3
1000.0,24000.0,952.8774,20913.484
1000.0,24000.0,880.01465,14957.952
1000.0,24000.0,864.74854,15012.859
1000.0,24000.0,904.4695,15016.511
1000.0,24000.0,887.4571,15203.027
1000.0,24000.0,918.2856,21623.174
1000.0,24000.0,931.6008,22043.559
1000.0,24000.0,918.24335,21820.059
1000.0,24000.0,925.02484,15993.535
1000.0,24000.0,916.41565,16842.37
1000.0,24000.0,897.2115,15526.776
1000.0,24000.0,734.43616,14316.673
1000.0,24000.0,739.64453,13854.586
1000.0,24000.0,956.74225,21821.723
1000.0,24000.0,951.128,21216.844
1000.0,24000.0,917.2597,21006.463
1000.0,24000.0,926.81396,19892.941
1000.0,24000.0,906.8961,20145.645
1000.0,24000.0,875.1126,19464.262
1000.0,24000.0,936.3471,21001.604
1000.0,24000.0,918.6824,21015.508
