True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,16000.0,929.0782,14406.038
1000.0,16000.0,920.69824,14273.472
1000.0,16000.0,927.61847,14503.219
1000.0,24000.0,727.0668,12128.663
1000.0,24000.0,722.1501,13753.13
1000.0,24000.0,699.59094,12017.134
1000.0,24000.0,715.73065,12336.788
1000.0,24000.0,774.8039,13097.831
1000.0,24000.0,733.59924,13945.805
1000.0,24000.0,747.6049,13847.132
1000.0,24000.0,888.1007,14833.39
1000.0,24000.0,920.9668,21629.635
1000.0,24000.0,926.5906,21656.857
1000.0,24000.0,917.2673,21002.172
1000.0,24000.0,892.58044,15127.67
1000.0,24000.0,895.83435,21183.934
1000.0,24000.0,924.8098,21505.139
1000.0,24000.0,863.83923,14345.766
1000.0,24000.0,835.12366,18095.229
1000.0,24000.0,884.5279,20641.014
1000.0,24000.0,880.485,20866.834
1000.0,24000.0,889.7358,21124.752
1000.0,24000.0,915.3976,21675.072
1000.0,24000.0,924.954,22116.99
1000.0,24000.0,880.03406,14196.836
1000.0,24000.0,879.56793,14360.059
1000.0,24000.0,926.7973,21373.242
1000.0,24000.0,929.5384,21622.064
1000.0,24000.0,867.1181,16450.086
1000.0,3000.0,940.9465,1562.0603
1000.0,3000.0,945.54913,1554.6963
1000.0,3000.0,960.4075,1582.317
1000.0,3000.0,885.12506,2689.884
1000.0,3000.0,880.2895,3145.203
1000.0,3000.0,941.8856,3049.1714
1000.0,3000.0,905.28186,3501.1865
1000.0,3000.0,954.1309,1902.4603
1000.0,3000.0,945.08,1721.9481
1000.0,3000.0,936.63184,2497.9666
1000.0,3000.0,950.30927,2050.6018
1000.0,3000.0,926.43585,3499.076
1000.0,3000.0,901.00433,1669.7389
1000.0,3000.0,919.98834,4189.633
1000.0,3000.0,907.8057,3713.518
1000.0,300.0,919.52234,1413.8657
1000.0,300.0,925.48425,339.6204
1000.0,300.0,912.4808,542.1436
1000.0,300.0,920.2514,737.4008
1000.0,300.0,939.524,218.77519
1000.0,300.0,956.23645,104.790634
1000.0,300.0,941.14233,165.0371
1000.0,300.0,956.55524,51.600384
1000.0,300.0,937.23193,1188.4324
1000.0,300.0,944.8431,1193.8163
1000.0,300.0,917.80554,913.40765
1000.0,300.0,955.3614,-254.95576
1000.0,5000.0,938.5532,2784.658
1000.0,5000.0,915.3519,4333.514
1000.0,5000.0,925.3732,4331.0366
1000.0,5000.0,938.7355,3517.2139
1000.0,5000.0,921.3607,4087.0408
1000.0,5000.0,923.0539,3691.7034
1000.0,5000.0,927.2561,1575.094
1000.0,5000.0,933.04474,3928.1587
1000.0,5000.0,898.856,5370.766
1000.0,5000.0,928.63104,4343.5977
1000.0,5000.0,947.46606,4508.0435
1000.0,5000.0,935.02924,4437.3276
1000.0,5000.0,921.25305,2281.433
1000.0,5000.0,909.7253,2615.1821
1000.0,5000.0,941.67804,2093.6382
1000.0,500.0,916.4752,326.0118
1000.0,500.0,902.91064,387.8815
1000.0,500.0,916.3355,-422.2557
1000.0,500.0,923.1188,-468.55746
1000.0,500.0,922.66656,-354.49698
1000.0,500.0,925.6137,166.17516
1000.0,500.0,928.0802,-342.12326
1000.0,500.0,912.8851,198.4359
1000.0,500.0,919.7569,-101.778885
1000.0,500.0,924.8257,360.4607
1000.0,500.0,955.9873,-60.347675
1000.0,500.0,955.6026,-277.20963
1000.0,8000.0,909.7085,7306.841
1000.0,8000.0,906.0532,7238.9756
1000.0,8000.0,898.38336,7238.767
1000.0,8000.0,904.46576,7264.0684
1000.0,8000.0,898.5758,7225.16
1000.0,8000.0,902.28796,7135.8384
1000.0,8000.0,899.4547,7200.939
1000.0,8000.0,898.02374,7166.5176
1000.0,8000.0,909.08746,7306.881
1000.0,8000.0,906.4437,7374.763
1000.0,8000.0,919.63544,7154.6826
1000.0,8000.0,898.15784,6696.029
